,,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,text1,text2,text3,text4,text5,text6,text7,text8,text9,text10,text11,text12,text13,text14,text15,text16,text17,text18,text19,text20,text21,text22,text23,text24,text25,text26,text27,text28,text29,text30,text31,text32,text33,text34,text35,text36,text37,text38,text39,text40,text41,text42,text43,text44,text45,text46,text47,text48,text49,text50,text51,text52,text53,text54,text55,text56,text57,text58,text59,text60,text61,text62,text63,text64,text65,text66,text67,text68,text69,text70,text71,text72,text73,text74,text75,text76,text77,text78,text79,text80,text81,text82,text83,text84,text85,text86,text87,text88,text89,text90,text91,text92,text93,text94,text95,text96,text97,text98,text99,text100,text101,text102,text103,text104,text105,text106,text107,text108,text109,text110,text111,text112,text113,text114
31,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",USAloveGOD,134,TRUE,FALSE,NA,NA,RT,@USAloveGOD:,This,is,like,some,bizarre,American,soap,opera!,Politicians,lawyers,and,liberals,on,stage,acting.This,is,going,to,be,a,real<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dolphsteelbear,35,TRUE,FALSE,NA,NA,RT,@kdog222:,@SRuhle,@MSNBC,That,is,so,bizarre,and,troubling.,Staff,is,covering,for,#Kavanaugh,on,Wikipedia?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SlickerJames,24,TRUE,FALSE,NA,NA,RT,@FRCdc:,<U+201C>My,family,and,I,intend,no,ill,will,toward,Dr.,Ford,or,her,family,but,I,swear,today,under,oath,before,the,Senate,and,the,nation<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,FALSE,0,CraigRozniecki,28/9/2018 3:49,TRUE,1.04544E+18,1.04552E+18,1355218452,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dylan_rand,0,FALSE,FALSE,NA,NA,@CraigRozniecki,Of,course,he,believes,in,god,why,wouldn't,he,not,believe,in,the,biggest,badist,rapist,in,the,bible<U+2026>,https://t.co/zPixZ2APQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,FALSE,0,SenJeffMerkley,28/9/2018 3:49,TRUE,1.04551E+18,1.04552E+18,29201047,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DustyShackleton,0,FALSE,FALSE,NA,NA,@SenJeffMerkley,All,#Kavanaugh,did,today,senator,was,to,rightly,call,you,and,other,#Democrats,out,as,to,what,a,farc<U+2026>,https://t.co/us130g8n7x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",elo1969,406,TRUE,FALSE,NA,NA,RT,@RealDLHughley:,Is,#Kavanaugh,off,his,meds,or,something?,He<U+2019>s,so,angry,and,can<U+2019>t,stop,crying.,Ironic,how,#DrFord,suffered,thru,the,sexua<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JuliaHartTeach,1138,TRUE,FALSE,NA,NA,RT,@CharlesMBlow:,Keep,this,front,of,mind,folks:,#Kavanaugh,is,one,of,many,options,to,fill,the,open,seat.,There,is,no,need,to,confirm,a,que<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jossayeee,12729,TRUE,FALSE,NA,NA,RT,@NBedera:,I'm,a,sociologist,who,studies,adolescent,sexual,violence.,In,this,thread,I,offer,the,basic,facts,everyone,should,know,about,s<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Peteythechihoo,66,TRUE,FALSE,NA,NA,RT,@JLownLaw:,@waltb31,@jodotcom,@SenatorCollins,@lisamurkowski,@JeffFlake,@JoeManchinWV,All,Senators,who,vote,to,confirm,#Kavanaugh,withou<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hankus12,585,TRUE,FALSE,NA,NA,RT,@CaliDeplorable:,Who,do,you,believe?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
